Key,Status,Labels,Fix Version/s,Issue Type,? Original Estimate,Priority,Sprint,Due Date,Created,QA Due Date
MCPU-13719,New Bug,"TEAM_BEAUJOLAIS, WORKFLOW_UPDATE",PU9.0,Bug,,Major,,,12/07/2018 11:58,
MCPU-13718,Closed - Complete,TEAM_REGSERV,PU9.0,Bug,,Critical,,,12/07/2018 11:58,
MCPU-13717,Closed - Complete,"QABuild_Issue, MISC",PU9.0,Bug,,Blocker,,,12/07/2018 11:51,
MCPU-13716,Closed - Complete,"TEAM_LOIRE, TEAM_REGSERV",PU8.0,Bug,,Critical,,,12/07/2018 11:50,
MCPU-13704,Closed - Complete,"QA_TESTING,MISC",PU9.0,Bug,,Major,,,12/07/2018 06:46,
MCPU-13703,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Major,,,12/07/2018 06:10,
MCPU-13702,Closed - Complete,"QABuild_Issue, TEAM_ALSACE",PU9.0,Bug,,Major,,,12/07/2018 04:44,
MCPU-13701,Development Backlog,"GTR_INTEGRATION, REGIME_ASIC, REGIME_MAS, REQUIREMENT_GAP, TEAM_REGSERV, TRADESERV",PU9.0,Bug,,Blocker,,16-Jul-18,11/07/2018 21:44,
MCPU-13700,New Bug,"AMENDMENT_PROCESSING, DTCC/TIW, TEAM_REGSERV, TIW_INTEGRATION",PU9.0,Bug,,Major,,,11/07/2018 21:03,
MCPU-13699,New Bug,"DTCC/TIW, Novation, TEAM_REGSERV, TIW_INTEGRATION",PU9.0,Bug,,Critical,,,11/07/2018 20:46,
MCPU-13698,New Bug,"GTR_INTEGRATION, REGIME_MJ, REG_REPORTING, TEAM_REGSERV, TESTDATA_ISSUE, TRADESERV",PU9.0,Bug,,Blocker,,,11/07/2018 18:56,
MCPU-13697,New Bug,"GTR_INTEGRATION, GTR_TRADESERV_REVIEW, REGIME_ESMA, REG_REP_GTR, TEAM_REGSERV, TRADESERV",PU9.0,Bug,,Critical,CreditRegserv-Sprint-29,27-Jul-18,11/07/2018 18:05,
